ID,Name,Address,County,Municipality,Latitude,Longitude,Region,Transit Users Only?,Capacity,2020 Average Use,Average % of Use,Daily Parking Fee,Monthly Parking Fee,Special Event Parking Fee,Bus Lines Serving Lot,Rail Lines Serving Lot,Peak Frequency (mins),Ownership,Annual Rent,Monthly Rent per Space,Monthly Rent per Utilized Space,General Ownership,Name2,Landscaping,Trash,Snow Removal,Signage,Asphalt Sealing,Asphalt Repair / Potholes,Pavement Markers / Striping,Lighting
1,Alpine Village,Route 286 / Rt. 22 Monroeville,Allegheny,Monroeville,40.429229,-79.720072,East,Y,245,83,0.33877551,0,0,0,P12,None,10,PAAC,,,,PAAC,ALPINE VILLAGE,WAY DEPT,B & E DEPT,WAY DEPT,WAY DEPT,WAY DEPT,WAY DEPT,B & E DEPT,B & E DEPT
2,Beulah Church,2500 McCrady Road,Allegheny,Churchill,40.4461,-79.847,East,Y,100,26,0.26,0,0,0,"P16, 67",None,15,Private/Lease,5250,4.38,17.11,Private,BEULAH CHURCH,NA,NA,NA,NA,NA,NA,NA,NA
3,Duquesne,Route 837 at Library Place,Allegheny,Duquesne,40.372227,-79.844671,East,N,311,12,0.038585209,0,0,0,"P7, 61C, 52L",None,15,PAAC/Lease,,,,PAAC,DUQUESNE,CONTRACTOR,CONTRACTOR,CONTRACTOR,WAY DEPT,WAY DEPT,WAY DEPT,B & E DEPT,B & E DEPT
4,Forest Hills,Ardmore Boulevard at Avenue B,Allegheny,North Braddock,40.412426,-79.84439,East,Y,168,30,0.178571429,0,0,0,"69, P69, P76",None,15,Private/Lease,18000,8.93,49.76,Private,FOREST HILLS,CONTRACTOR,CONTRACTOR,CONTRACTOR,WAY DEPT,NA,NA,NA,NA
5,Hamnett,Center Street off Penn Avenue,Allegheny,Wilkinsburg,40.43733,-79.884859,East,Y,128,50,0.390625,0,0,0,"P1, P3",None,5,PAAC,,,,PAAC,HAMNETT,NA,B & E DEPT,WAY DEPT,WAY DEPT,WAY DEPT,WAY DEPT,B & E DEPT,B & E DEPT
6,Hebron United Presbyterian Church,10460 Frankstown Road at Nelbon,Allegheny,Penn Hills,40.460158,-79.844406,East,N,50,4,0.08,0,0,0,77,None,30,Private/Verbal,,,,Private,HEBRON UNITED PRESBYTERIAN CHURCH,NA,NA,NA,NA,NA,NA,NA,NA
7,Holiday Park Vfd,415 Old Abers Creek Road,Allegheny,Plum,40.466,-79.7055,East,Y,92,32,0.347826087,0,0,0,P12,None,10,Private/Lease,6624,6,17.02,Private,HOLIDAY PARK VFD,NA,NA,CONTRACTOR,WAY DEPT,NA,NA,NA,NA
8,Mckeesport Transportation Center,541 Lysle Boulevard,Allegheny,Mckeesport,40.352251,-79.861223,East,Y,66,24,0.363636364,0,0,0,"P7, 56, 61C",None,15,PAAC,,,,PAAC,MCKEESPORT TRANSPORTATION CENTER,WAY DEPT,B & E DEPT,WAY DEPT,WAY DEPT,WAY DEPT,WAY DEPT,B & E DEPT,B & E DEPT
9,Monroeville Mall,Lower Level of Macy's,Allegheny,Monroeville,40.427437,-79.791982,East,Y,140,36,0.257142857,0,0,0,P67,None,20,Private/Lease,12000,7.14,28,Private,MONROEVILLE MALL,NA,NA,NA,NA,NA,NA,NA,NA
10,North Versailles,Greensburg Pike off Route 30 ,Allegheny,North Versailles,40.388854,-79.823066,East,Y,200,21,0.105,0,0,0,P76,None,10,Private/Lease,,,,Private,NORTH VERSAILLES,NA,CONTRACTOR,CONTRACTOR,WAY DEPT,NA,WAY DEPT,NA,NA
11,Olympia Shopping Center,4313 Walnut Street,Allegheny,Mckeesport,40.322647,-79.834696,East,Y,50,11,0.22,0,0,0,P76,None,10,Private/Lease,3600,6,27.63,Private,OLYMPIA SHOPPING CENTER,NA,CONTRACTOR,NA,WAY DEPT,NA,NA,B & E DEPT,NA
12,Plum,Route 286 / New Texas Road,Allegheny,Plum,40.451217,-79.713184,East,Y,64,18,0.28125,0,0,0,P12,None,10,PennDOT/Lease,,,,PennDOT,PLUM,CONTRACTOR,CONTRACTOR,CONTRACTOR,WAY DEPT,WAY DEPT,WAY DEPT,B & E DEPT,B & E DEPT
13,Swissvale,Vernon Street off Braddock Avenue,Allegheny,Swissvale,40.415187,-79.878973,East,Y,153,75,0.490196078,0,0,0,"P1, P3",None,5,PAAC,,,,PAAC,SWISSVALE,WAY DEPT,B & E DEPT,WAY DEPT,WAY DEPT,WAY DEPT,WAY DEPT,B & E DEPT,B & E DEPT
14,Wilkinsburg,Wallace Ave/Wilkinsburg Station,Allegheny,Wilkinsburg,40.448008,-79.889279,East,Y,734,283,0.385558583,0,0,0,"P1, P2, P3",None,5,PAAC,,,,PAAC,WILKINSBURG,WAY DEPT,B & E DEPT,WAY DEPT,WAY DEPT,WAY DEPT,WAY DEPT,B & E DEPT,B & E DEPT
15,Bethel Park,Brightwood Rd. at Lytle Road,Allegheny,Bethel Park,40.334155,-80.030336,South,Y,286,90,0.314685315,0,0,0,None,Blue,12,PAAC,,,,PAAC,BETHEL PARK,WAY DEPT,B & E DEPT,WAY DEPT,WAY DEPT,WAY DEPT,WAY DEPT,B & E DEPT,B & E DEPT
16,Castle Shannon,Castle Shan. Blvd. at Mt. Lebo Blvd.,Allegheny,Castle Shannon,40.368258,-80.02951,South,Y,507,163,0.321499014,0,0,0,None,Red,12,PAAC,,,,PAAC,CASTLE SHANNON,WAY DEPT,B & E DEPT,WAY DEPT,WAY DEPT,WAY DEPT,WAY DEPT,B & E DEPT,B & E DEPT
17,Century Iii Mall,3075 Route 51/West Mifflin,Allegheny,West Mifflin,40.335615,-79.94339,South,Y,160,34,0.2125,0,0,0,Y1,None,15,Private/Lease,14000,7.29,34.03,Private,CENTURY III MALL,NA,NA,NA,WAY DEPT,NA,NA,NA,NA
